year,sex,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1931,F,30849,###,4465,20048,39500,8933,12289,2038,13167,30012,5060,4524,57504,27237,20312,16150,27721,21290,7913,14049,33774,44321,22910,22031,29443,4621,12759,617,3759,31362,6009,100241,36294,7056,52426,20931,6444,86955,5472,19347,###,25629,###,5834,3271,25824,10650,19164,26438,2198
1931,M,31894,###,4904,20994,41926,9580,13266,2199,13866,31768,5403,4551,61284,28736,21631,16644,29399,22079,8390,14733,35447,46608,23972,23180,31291,5017,13850,606,4005,32692,6313,105436,38505,7324,55724,22338,6766,91759,5853,20168,###,26605,###,6184,3405,26907,11378,20161,27982,2306
1932,F,30780,###,4113,18240,38103,8563,11634,2092,13240,31000,5119,4218,54380,25926,19753,15285,28764,21095,7863,14170,33445,41558,22590,22703,29140,4445,12145,642,3803,30005,6063,96330,38126,6714,49550,19801,6312,82110,5390,20149,6485,25520,###,5817,2928,26923,10418,18855,25979,2080
1932,M,32159,###,4410,19210,39990,9050,12097,2202,14162,32717,5374,4514,57132,27147,20706,16415,30741,22203,8266,14650,35089,44178,23787,23570,30809,4646,13014,618,4005,31214,6328,102101,39776,7333,52203,21238,6535,86424,5781,21369,6756,26971,###,6157,3102,27659,10961,19948,27128,2169
1933,F,28898,###,3952,17404,36533,8467,10945,1901,12557,29896,4768,4170,52301,24539,19132,14954,26882,19458,7303,13528,30962,39292,21518,21613,27757,4359,11800,656,3587,27225,5979,90925,36561,6429,46536,21156,5914,76231,5048,19843,6278,24403,52549,5746,2968,25105,10294,17638,24420,1987
1933,M,30440,###,4173,18396,38503,8713,11492,2021,13109,31088,4865,4387,55609,25941,20443,15801,28443,20290,7820,13912,32483,41631,22996,22661,29520,4594,12385,697,3798,28836,6325,96233,38861,6760,49247,22541,6309,80815,5304,20476,6581,25745,55401,6164,3163,26149,10588,18625,25989,2220
1934,F,31099,###,4056,18200,38070,8707,10799,1905,12873,31673,4484,4531,53598,25430,20664,15827,28774,21042,7690,13512,30969,41025,22197,23402,28734,4788,12264,694,3808,26634,6289,90446,38934,7027,48739,22950,6349,78518,5003,21448,6457,25537,56016,6218,3274,25496,11035,20070,24950,2200
1934,M,32396,###,4436,19315,40276,9142,11416,2083,13843,32988,4811,4842,56628,26919,21799,16636,31130,21961,8070,13828,32859,42900,23724,24461,30451,5161,12821,740,4061,27907,6480,95169,40770,7522,51361,24352,6728,81720,5346,22817,6716,26856,60587,6418,3319,26879,11505,21406,26469,2365
1935,F,30414,###,4484,17227,38965,9186,10860,1957,13648,30961,4492,4631,54590,25695,20031,14978,27796,20674,7701,13308,30603,42412,22399,23806,27895,4926,11380,690,3825,26410,6498,89724,38399,6637,49333,21348,6354,78468,4969,19761,6246,25914,55885,6186,3231,25212,10805,20379,25449,2131
1935,M,31825,###,4655,18457,41166,9651,11398,2079,14403,32299,4704,4838,57294,27214,21106,15611,29919,21596,8022,13928,32398,45034,23563,24514,29404,5103,11947,733,3943,28104,6692,94620,40354,7018,51770,22343,6825,82698,5246,20837,6604,27400,58836,6509,3360,26275,11591,21395,27113,2231
1936,F,29624,###,4566,16318,41358,8848,10779,1882,13782,30017,4278,4972,54531,26381,20776,14531,27005,21487,7490,12873,30138,43148,23054,24335,27290,5124,11610,673,3692,26201,6260,88486,37145,6639,50840,19975,6713,77843,5036,19339,6372,24849,54106,6153,3167,25059,11367,19903,25544,2328
1936,M,30492,###,4979,17202,43144,9431,11449,2040,14315,31641,4303,5252,57636,27653,21939,15467,28773,22341,7812,13715,31566,45279,24522,25111,28626,5276,12188,746,3987,27632,6647,93983,39037,6932,52863,21840,7262,81550,5150,19953,6507,25722,57496,6398,3282,26188,12009,20950,27069,2425
1937,F,30281,###,5127,16938,45522,9423,11032,2053,14555,31511,4426,5027,55873,27072,20462,14087,27208,22539,7454,13612,29890,44507,23397,25653,27809,4999,10823,848,3723,26698,6652,90203,38678,6051,52432,20180,7509,78328,4975,19997,5937,25340,56297,6143,3077,25519,12294,20656,26109,2189
